"fname","lname","week","yr","actual","rating","home","pts_1y","xpa_1y","xpm_1y","fga_1y","fgm_1y","gt50_1y","pts_2y","xpa_2y","xpm_2y","fga_2y","fgm_2y","gt50_2y","xpa_1wk","xpm_1wk","fga_1wk","fgm_1wk","gt50_1wk","xpa_2wk","xpm_2wk","fga_2wk","fgm_2wk","gt50_2wk"
" Dan"," Carpenter","3","2014","4","9","1","139","32","32","36","33","4","96","26","26","27","22","2","2","2","6","5","0","2","2","6","5","0"
" Chandler"," Catanzaro","3","2014","13","9","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","4","4","0","1","1","4","4","0"
" Mason"," Crosby","3","2014","1","6","0","151","42","42","37","33","5","117","50","50","33","21","2","2","2","3","3","1","2","2","3","3","1"
" Billy"," Cundiff","3","2014","3","11","1","99","32","32","26","21","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","2","2","0","2","2","2","2","0"
" Phil"," Dawson","3","2014","2","8","0","148","44","44","36","32","4","130","29","29","31","29","7","2","2","2","2","0","2","2","2","2","0"
" Nick"," Folk","3","2014","13","3","1","132","27","27","36","33","3","99","30","30","27","21","3","3","3","1","1","1","3","3","1","1","1"
" Kai"," Forbath","3","2014","10","7","0","82","26","26","22","18","1","86","34","33","18","17","1","5","5","2","2","0","5","5","2","2","0"
" Graham"," Gano","3","2014","7","14","1","126","42","42","27","24","6","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","3","3","1","1","1","3","3","1"
" Stephen"," Gostkowski","3","2014","10","17","1","168","44","44","41","38","5","157","66","66","35","29","2","3","3","3","3","0","3","3","3","3","0"
" Robbie"," Gould","3","2014","9","15","0","129","46","45","29","26","3","100","33","33","25","21","2","4","4","0","0","0","4","4","0","0","0"
