"fname","lname","week","yr","actual","rating","home","pts_1y","xpa_1y","xpm_1y","fga_1y","fgm_1y","gt50_1y","pts_2y","xpa_2y","xpm_2y","fga_2y","fgm_2y","gt50_2y","xpa_1wk","xpm_1wk","fga_1wk","fgm_1wk","gt50_1wk","xpa_2wk","xpm_2wk","fga_2wk","fgm_2wk","gt50_2wk"
" Mason"," Crosby","2","2015","15","4","1","142","55","53","33","27","4","151","42","42","37","33","5","4","4","1","1","0","4","4","1","1","0"
" Phil"," Dawson","2","2015","4","17","0","120","33","33","31","25","6","148","44","44","36","32","4","2","2","3","2","0","2","2","3","2","0"
" Nick"," Folk","2","2015","8","19","0","125","23","23","39","32","3","132","27","27","36","33","3","4","4","1","1","0","4","4","1","1","0"
" Andrew"," Franks","2","2015","8","17","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","1","1","0","2","2","1","1","0"
" Graham"," Gano","2","2015","6","16","1","123","34","34","35","29","1","126","42","42","27","24","6","2","2","4","2","0","2","2","4","2","0"
" Stephen"," Gostkowski","2","2015","18","8","0","158","51","51","37","35","1","168","44","44","41","38","5","4","4","0","0","0","4","4","0","0","0"
" Robbie"," Gould","2","2015","13","4","1","55","29","28","12","9","0","129","46","45","29","26","3","2","2","3","3","1","2","2","3","3","1"
" Stephen"," Hauschka","2","2015","7","14","0","138","41","41","37","31","2","149","44","44","35","33","3","2","2","3","3","0","2","2","3","3","0"
" Sebastian"," Janikowski","2","2015","13","15","1","91","28","28","22","19","3","106","37","37","30","21","3","1","1","0","0","0","1","1","0","0","0"
" Josh"," Lambo","2","2015","7","6","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","3","2","2","0","4","3","2","2","0"
" Brandon"," McManus","2","2015","9","5","0","68","41","41","13","9","0","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","4","4","2","1","1","4","4","2"
" Jason"," Myers","2","2015","13","8","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","0","2","1","0","1","0","2","1","0"
" Mike"," Nugent","2","2015","6","18","1","117","39","39","33","26","0","112","53","52","22","18","3","4","3","2","2","0","4","3","2","2","0"
" Matt"," Prater","2","2015","4","12","0","90","21","21","26","21","3","162","75","75","26","25","6","4","4","0","0","0","4","4","0","0","0"
" Cairo"," Santos","2","2015","6","1","1","115","38","38","30","25","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","3","2","0","3","3","3","2","0"
" Ryan"," Succop","2","2015","2","3","0","88","27","27","22","19","2","120","52","52","28","22","1","6","6","0","0","0","6","6","0","0","0"
" Justin"," Tucker","2","2015","15","20","0","137","42","42","34","29","4","152","26","26","41","38","6","1","1","2","2","1","1","1","2","2","1"
" Adam"," Vinatieri","2","2015","1","2","1","146","50","50","31","30","3","147","34","34","40","35","4","0","0","1","0","0","0","0","1","0","0"
" Blair"," Walsh","2","2015","8","9","1","117","29","29","35","26","5","125","44","43","30","26","2","0","0","2","1","0","0","0","2","1","0"
" Greg"," Zuerlein","2","2015","6","16","0","116","35","34","30","24","5","114","34","34","28","26","1","4","4","2","2","0","4","4","2","2","0"
" Dan"," Bailey","3","2015","4","20","1","141","56","56","29","25","5","143","47","47","30","28","6","2","2","2","2","0","2","2","2","2","0"
" Josh"," Brown","3","2015","12","17","1","124","44","44","26","24","4","102","31","31","26","23","1","2","2","2","2","0","2","2","2","2","0"
" Matt"," Bryant","3","2015","7","18","0","141","40","40","32","29","7","117","39","39","27","24","3","3","3","1","1","0","3","3","1","1","0"
" Randy"," Bullock","3","2015","7","10","1","138","40","40","35","30","4","106","26","26","35","26","1","2","2","1","1","0","2","2","1","1","0"
" Dan"," Carpenter","3","2015","13","16","0","145","32","31","38","34","6","139","32","32","36","33","4","3","2","0","0","0","3","2","0","0","0"
" Chandler"," Catanzaro","3","2015","9","19","1","118","27","27","33","29","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","7","6","0","0","0","7","6","0","0","0"
" Travis"," Coons","3","2015","8","19","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","4","0","0","0","4","4","0","0","0"
" Mason"," Crosby","3","2015","8","11","1","142","55","53","33","27","4","151","42","42","37","33","5","1","1","4","4","1","1","1","4","4","1"
" Phil"," Dawson","3","2015","1","1","0","120","33","33","31","25","6","148","44","44","36","32","4","1","1","1","1","0","1","1","1","1","0"
" Nick"," Folk","3","2015","7","7","1","125","23","23","39","32","3","132","27","27","36","33","3","2","2","3","2","0","2","2","3","2","0"
" Andrew"," Franks","3","2015","0","5","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","2","0","2","2","3","2","0"
" Graham"," Gano","3","2015","9","13","1","123","34","34","35","29","1","126","42","42","27","24","6","3","3","2","1","0","3","3","2","1","0"
" Stephen"," Gostkowski","3","2015","15","21","1","158","51","51","37","35","1","168","44","44","41","38","5","4","4","4","4","1","4","4","4","4","1"
" Stephen"," Hauschka","3","2015","14","22","1","138","41","41","37","31","2","149","44","44","35","33","3","2","2","1","1","1","2","2","1","1","1"
" Dustin"," Hopkins","3","2015","7","8","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","1","1","0","3","3","1","1","0"
" Sebastian"," Janikowski","3","2015","9","7","0","91","28","28","22","19","3","106","37","37","30","21","3","4","4","3","3","0","4","4","3","3","0"
" Josh"," Lambo","3","2015","2","6","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","3","2","0","1","1","3","2","0"
" Brandon"," McManus","3","2015","6","15","0","68","41","41","13","9","0","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","4","1","1","1","4","4","1","1","1"
" Jason"," Myers","3","2015","5","9","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","3","1","2","2","3","3","1"
" Mike"," Nugent","3","2015","4","9","0","117","39","39","33","26","0","112","53","52","22","18","3","3","3","2","1","0","3","3","2","1","0"
" Matt"," Prater","3","2015","0","2","1","90","21","21","26","21","3","162","75","75","26","25","6","1","1","1","1","0","1","1","1","1","0"
" Cairo"," Santos","3","2015","2","13","0","115","38","38","30","25","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","1","1","0","3","3","1","1","0"
" Ryan"," Succop","3","2015","9","14","1","88","27","27","22","19","2","120","52","52","28","22","1","2","2","0","0","0","2","2","0","0","0"
" Justin"," Tucker","3","2015","6","11","1","137","42","42","34","29","4","152","26","26","41","38","6","3","3","4","4","0","3","3","4","4","0"
" Adam"," Vinatieri","3","2015","5","11","0","146","50","50","31","30","3","147","34","34","40","35","4","1","1","1","0","0","1","1","1","0","0"
" Blair"," Walsh","3","2015","7","21","1","117","29","29","35","26","5","125","44","43","30","26","2","3","2","2","2","0","3","2","2","2","0"
" Greg"," Zuerlein","3","2015","6","12","1","116","35","34","30","24","5","114","34","34","28","26","1","1","1","1","1","1","1","1","1","1","1"
" Dan"," Bailey","4","2015","8","19","0","141","56","56","29","25","5","143","47","47","30","28","6","4","4","0","0","0","4","4","0","0","0"
" Josh"," Brown","4","2015","4","9","0","124","44","44","26","24","4","102","31","31","26","23","1","3","3","3","3","0","3","3","3","3","0"
" Matt"," Bryant","4","2015","6","23","1","141","40","40","32","29","7","117","39","39","27","24","3","4","4","1","1","0","4","4","1","1","0"
" Dan"," Carpenter","4","2015","6","10","1","145","32","31","38","34","6","139","32","32","36","33","4","5","5","3","2","1","5","5","3","2","1"
" Chandler"," Catanzaro","4","2015","16","5","1","118","27","27","33","29","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","6","6","1","1","0","6","6","1","1","0"
" Travis"," Coons","4","2015","13","26","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","2","2","0","2","2","2","2","0"
" Mason"," Crosby","4","2015","5","21","0","142","55","53","33","27","4","151","42","42","37","33","5","5","5","1","1","0","5","5","1","1","0"
" Phil"," Dawson","4","2015","3","11","1","120","33","33","31","25","6","148","44","44","36","32","4","1","1","0","0","0","1","1","0","0","0"
" Nick"," Folk","4","2015","9","22","0","125","23","23","39","32","3","132","27","27","36","33","3","2","2","1","1","1","2","2","1","1","1"
" Andrew"," Franks","4","2015","2","6","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","0","0","0","0","1","0","0","0","0"
" Graham"," Gano","4","2015","13","20","0","123","34","34","35","29","1","126","42","42","27","24","6","3","3","2","2","0","3","3","2","2","0"
" Stephen"," Hauschka","4","2015","11","7","1","138","41","41","37","31","2","149","44","44","35","33","3","2","2","4","4","0","2","2","4","4","0"
" Dustin"," Hopkins","4","2015","11","15","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","2","2","0","1","1","2","2","0"
" Sebastian"," Janikowski","4","2015","8","25","0","91","28","28","22","19","3","106","37","37","30","21","3","3","3","2","2","0","3","3","2","2","0"
" Josh"," Lambo","4","2015","12","16","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","0","0","0","2","2","0","0","0"
" Brandon"," McManus","4","2015","11","8","1","68","41","41","13","9","0","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","1","1","0","3","3","1","1","0"
" Jason"," Myers","4","2015","7","18","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","1","1","0","2","2","1","1","0"
" Mike"," Nugent","4","2015","4","23","1","117","39","39","33","26","0","112","53","52","22","18","3","4","4","0","0","0","4","4","0","0","0"
" Matt"," Prater","4","2015","4","4","0","90","21","21","26","21","3","162","75","75","26","25","6","1","0","0","0","0","1","0","0","0","0"
" Cairo"," Santos","4","2015","25","15","0","115","38","38","30","25","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","0","0","0","2","2","0","0","0"
" Justin"," Tucker","4","2015","13","12","0","137","42","42","34","29","4","152","26","26","41","38","6","3","3","2","1","0","3","3","2","1","0"
" Adam"," Vinatieri","4","2015","12","22","1","146","50","50","31","30","3","147","34","34","40","35","4","5","5","0","0","0","5","5","0","0","0"
" Blair"," Walsh","4","2015","8","1","0","117","29","29","35","26","5","125","44","43","30","26","2","4","4","1","1","0","4","4","1","1","0"
" Greg"," Zuerlein","4","2015","6","2","0","116","35","34","30","24","5","114","34","34","28","26","1","0","0","2","2","0","0","0","2","2","0"
" Dan"," Bailey","5","2015","8","11","1","141","56","56","29","25","5","143","47","47","30","28","6","2","2","2","2","0","2","2","2","2","0"
" Josh"," Brown","5","2015","12","19","1","124","44","44","26","24","4","102","31","31","26","23","1","2","1","1","1","0","2","1","1","1","0"
" Matt"," Bryant","5","2015","7","15","1","141","40","40","32","29","7","117","39","39","27","24","3","6","6","0","0","0","6","6","0","0","0"
" Dan"," Carpenter","5","2015","2","18","0","145","32","31","38","34","6","139","32","32","36","33","4","1","1","2","1","1","1","1","2","1","1"
" Chandler"," Catanzaro","5","2015","6","12","0","118","27","27","33","29","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","5","5","0","1","1","5","5","0"
" Travis"," Coons","5","2015","13","15","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","4","4","0","1","1","4","4","0"
" Mason"," Crosby","5","2015","6","5","1","142","55","53","33","27","4","151","42","42","37","33","5","2","2","2","1","0","2","2","2","1","0"
" Phil"," Dawson","5","2015","9","12","0","120","33","33","31","25","6","148","44","44","36","32","4","0","0","1","1","0","0","0","1","1","0"
" Robbie"," Gould","5","2015","6","18","0","55","29","28","12","9","0","129","46","45","29","26","3","2","1","3","3","1","2","1","3","3","1"
" Stephen"," Hauschka","5","2015","6","14","0","138","41","41","37","31","2","149","44","44","35","33","3","1","1","2","2","2","1","1","2","2","2"
" Dustin"," Hopkins","5","2015","9","7","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","3","0","2","2","3","3","0"
" Sebastian"," Janikowski","5","2015","6","1","1","91","28","28","22","19","3","106","37","37","30","21","3","2","2","2","2","0","2","2","2","2","0"
" Josh"," Lambo","5","2015","10","8","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","3","3","0","3","3","3","3","0"
" Brandon"," McManus","5","2015","12","17","0","68","41","41","13","9","0","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","3","0","2","2","3","3","0"
" Jason"," Myers","5","2015","7","13","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","4","2","0","1","1","4","2","0"
" Nick"," Novak","5","2015","8","16","1","112","40","40","26","22","3","148","42","42","37","34","2","3","3","1","0","0","3","3","1","0","0"
" Mike"," Nugent","5","2015","9","3","1","117","39","39","33","26","0","112","53","52","22","18","3","4","4","1","0","0","4","4","1","0","0"
" Matt"," Prater","5","2015","5","2","1","90","21","21","26","21","3","162","75","75","26","25","6","1","1","1","1","0","1","1","1","1","0"
" Cairo"," Santos","5","2015","5","21","1","115","38","38","30","25","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","0","0","7","7","2","0","0","7","7","2"
" Caleb"," Sturgis","5","2015","15","20","1","134","41","41","37","29","3","117","33","33","34","26","3","3","2","1","0","0","3","2","1","0","0"
" Justin"," Tucker","5","2015","6","18","1","137","42","42","34","29","4","152","26","26","41","38","6","2","2","3","3","1","2","2","3","3","1"
" Adam"," Vinatieri","5","2015","9","24","0","146","50","50","31","30","3","147","34","34","40","35","4","1","1","3","3","1","1","1","3","3","1"
" Greg"," Zuerlein","5","2015","4","4","0","116","35","34","30","24","5","114","34","34","28","26","1","3","3","1","1","0","3","3","1","1","0"
" Chris"," Boswell","6","2015","15","2","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","1","1","0","3","3","1","1","0"
" Josh"," Brown","6","2015","1","3","0","124","44","44","26","24","4","102","31","31","26","23","1","3","3","3","3","0","3","3","3","3","0"
" Matt"," Bryant","6","2015","3","19","0","141","40","40","32","29","7","117","39","39","27","24","3","1","1","4","2","0","1","1","4","2","0"
" Dan"," Carpenter","6","2015","3","14","1","145","32","31","38","34","6","139","32","32","36","33","4","2","2","0","0","0","2","2","0","0","0"
" Chandler"," Catanzaro","6","2015","7","6","0","118","27","27","33","29","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","6","6","0","0","0","6","6","0","0","0"
" Travis"," Coons","6","2015","5","1","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","4","4","0","1","1","4","4","0"
" Mason"," Crosby","6","2015","9","23","1","142","55","53","33","27","4","151","42","42","37","33","5","3","3","1","1","0","3","3","1","1","0"
" Phil"," Dawson","6","2015","15","17","1","120","33","33","31","25","6","148","44","44","36","32","4","3","3","2","2","0","3","3","2","2","0"
" Stephen"," Gostkowski","6","2015","10","16","0","158","51","51","37","35","1","168","44","44","41","38","5","3","3","3","3","1","3","3","3","3","1"
" Robbie"," Gould","6","2015","14","14","0","55","29","28","12","9","0","129","46","45","29","26","3","0","0","2","2","0","0","0","2","2","0"
" Stephen"," Hauschka","6","2015","13","8","1","138","41","41","37","31","2","149","44","44","35","33","3","3","3","1","1","0","3","3","1","1","0"
" Dustin"," Hopkins","6","2015","10","11","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","3","2","1","1","1","3","2","1"
" Josh"," Lambo","6","2015","8","5","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","2","1","2","2","3","2","1"
" Brandon"," McManus","6","2015","14","16","0","68","41","41","13","9","0","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","3","3","1","1","1","3","3","1"
" Jason"," Myers","6","2015","2","19","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","4","4","1","1","0","4","4","1","1","0"
" Nick"," Novak","6","2015","7","24","0","112","40","40","26","22","3","148","42","42","37","34","2","2","2","2","2","0","2","2","2","2","0"
" Mike"," Nugent","6","2015","10","12","0","117","39","39","33","26","0","112","53","52","22","18","3","3","3","2","2","0","3","3","2","2","0"
" Matt"," Prater","6","2015","13","22","1","90","21","21","26","21","3","162","75","75","26","25","6","2","2","1","1","0","2","2","1","1","0"
" Cairo"," Santos","6","2015","4","11","0","115","38","38","30","25","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","1","0","2","2","3","1","0"
" Caleb"," Sturgis","6","2015","9","10","1","134","41","41","37","29","3","117","33","33","34","26","3","4","3","4","4","0","4","3","4","4","0"
" Ryan"," Succop","6","2015","4","13","1","88","27","27","22","19","2","120","52","52","28","22","1","1","1","2","2","0","1","1","2","2","0"
" Justin"," Tucker","6","2015","8","20","0","137","42","42","34","29","4","152","26","26","41","38","6","3","3","2","1","0","3","3","2","1","0"
" Adam"," Vinatieri","6","2015","3","13","1","146","50","50","31","30","3","147","34","34","40","35","4","3","3","2","2","0","3","3","2","2","0"
" Chris"," Boswell","7","2015","7","15","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","4","4","1","1","1","4","4","1"
" Josh"," Brown","7","2015","9","24","1","124","44","44","26","24","4","102","31","31","26","23","1","1","1","0","0","0","1","1","0","0","0"
" Matt"," Bryant","7","2015","4","20","0","141","40","40","32","29","7","117","39","39","27","24","3","3","3","0","0","0","3","3","0","0","0"
" Dan"," Carpenter","7","2015","11","18","0","145","32","31","38","34","6","139","32","32","36","33","4","3","3","0","0","0","3","3","0","0","0"
" Chandler"," Catanzaro","7","2015","8","19","1","118","27","27","33","29","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","3","2","0","1","1","3","2","0"
" Travis"," Coons","7","2015","6","3","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","1","1","0","2","2","1","1","0"
" Phil"," Dawson","7","2015","3","3","1","120","33","33","31","25","6","148","44","44","36","32","4","1","1","4","4","1","1","1","4","4","1"
" Nick"," Folk","7","2015","13","13","0","125","23","23","39","32","3","132","27","27","36","33","3","4","4","3","2","0","4","4","3","2","0"
" Andrew"," Franks","7","2015","10","17","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","5","5","1","1","0","5","5","1","1","0"
" Graham"," Gano","7","2015","9","4","1","123","34","34","35","29","1","126","42","42","27","24","6","4","3","0","0","0","4","3","0","0","0"
" Stephen"," Gostkowski","7","2015","12","12","1","158","51","51","37","35","1","168","44","44","41","38","5","4","4","2","2","0","4","4","2","2","0"
" Stephen"," Hauschka","7","2015","8","17","0","138","41","41","37","31","2","149","44","44","35","33","3","2","2","3","3","1","2","2","3","3","1"
" Dustin"," Hopkins","7","2015","7","15","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","2","2","1","2","2","2","2","1"
" Josh"," Lambo","7","2015","7","21","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","2","2","0","2","2","2","2","0"
" Jason"," Myers","7","2015","4","9","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","2","0","0","0","3","2","0","0","0"
" Nick"," Novak","7","2015","2","11","0","112","40","40","26","22","3","148","42","42","37","34","2","4","4","1","1","0","4","4","1","1","0"
" Matt"," Prater","7","2015","7","10","1","90","21","21","26","21","3","162","75","75","26","25","6","4","4","3","3","0","4","4","3","3","0"
" Cairo"," Santos","7","2015","11","9","1","115","38","38","30","25","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","1","1","0","1","1","1","1","0"
" Caleb"," Sturgis","7","2015","12","8","0","134","41","41","37","29","3","117","33","33","34","26","3","3","3","2","2","0","3","3","2","2","0"
" Ryan"," Succop","7","2015","1","7","1","88","27","27","22","19","2","120","52","52","28","22","1","1","1","1","1","0","1","1","1","1","0"
" Justin"," Tucker","7","2015","4","2","0","137","42","42","34","29","4","152","26","26","41","38","6","2","2","3","2","0","2","2","3","2","0"
" Adam"," Vinatieri","7","2015","3","15","1","146","50","50","31","30","3","147","34","34","40","35","4","4","3","0","0","0","4","3","0","0","0"
" Blair"," Walsh","7","2015","20","13","0","117","29","29","35","26","5","125","44","43","30","26","2","1","1","3","3","0","1","1","3","3","0"
" Dan"," Bailey","8","2015","14","4","1","141","56","56","29","25","5","143","47","47","30","28","6","2","2","2","2","0","2","2","2","2","0"
" Connor"," Barth","8","2015","11","10","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","3","3","0","3","3","3","3","0"
" Chris"," Boswell","8","2015","4","14","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","2","2","0","1","1","2","2","0"
" Josh"," Brown","8","2015","7","18","0","124","44","44","26","24","4","102","31","31","26","23","1","3","3","2","2","0","3","3","2","2","0"
" Matt"," Bryant","8","2015","8","15","1","141","40","40","32","29","7","117","39","39","27","24","3","1","1","2","1","0","1","1","2","1","0"
" Chandler"," Catanzaro","8","2015","10","16","0","118","27","27","33","29","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","2","3","2","0","3","2","3","2","0"
" Travis"," Coons","8","2015","2","3","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","0","0","2","2","0","0","0","2","2","0"
" Phil"," Dawson","8","2015","8","2","0","120","33","33","31","25","6","148","44","44","36","32","4","0","0","1","1","0","0","0","1","1","0"
" Nick"," Folk","8","2015","8","25","0","125","23","23","39","32","3","132","27","27","36","33","3","2","2","3","3","1","2","2","3","3","1"
" Kai"," Forbath","8","2015","12","5","1","103","32","31","27","24","0","82","26","26","22","18","1","4","3","0","0","0","4","3","0","0","0"
" Andrew"," Franks","8","2015","1","11","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","6","5","1","1","1","6","5","1","1","1"
" Graham"," Gano","8","2015","13","14","1","123","34","34","35","29","1","126","42","42","27","24","6","3","3","2","2","0","3","3","2","2","0"
" Stephen"," Gostkowski","8","2015","12","17","1","158","51","51","37","35","1","168","44","44","41","38","5","3","3","3","3","0","3","3","3","3","0"
" Stephen"," Hauschka","8","2015","7","26","0","138","41","41","37","31","2","149","44","44","35","33","3","2","2","2","2","0","2","2","2","2","0"
" Sebastian"," Janikowski","8","2015","12","18","1","91","28","28","22","19","3","106","37","37","30","21","3","4","4","3","3","0","4","4","3","3","0"
" Josh"," Lambo","8","2015","8","21","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","2","2","0","1","1","2","2","0"
" Nick"," Novak","8","2015","8","22","1","112","40","40","26","22","3","148","42","42","37","34","2","3","2","0","0","0","3","2","0","0","0"
" Matt"," Prater","8","2015","4","13","0","90","21","21","26","21","3","162","75","75","26","25","6","2","2","1","1","1","2","2","1","1","1"
" Cairo"," Santos","8","2015","9","19","1","115","38","38","30","25","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","4","3","0","2","2","4","3","0"
" Ryan"," Succop","8","2015","6","12","0","88","27","27","22","19","2","120","52","52","28","22","1","1","1","0","0","0","1","1","0","0","0"
