fname,lname,week,yr,actual,predicted
Chris,Boswell,1,2018,0,9.034925
Greg,Zuerlein,1,2018,0,11.21442
Stephen,Gostkowski,1,2018,0,8.805497
Matt,Bryant,1,2018,0,8.887027999999999
Matt,Prater,1,2018,0,9.650903
Justin,Tucker,1,2018,0,9.423153999999998
Robbie,Gould,1,2018,0,12.345966
Graham,Gano,1,2018,0,6.973160000000001
Will,Lutz,1,2018,0,8.323889
Adam,Vinatieri,1,2018,0,8.340404
