"fname","lname","week","yr","actual","rating","home","pts_1y","ruyds_1y","rutd_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","ruatt_2y","ruyds_2y","rutd_2y","rerec_2y","reyds_2y","retd_2y","ruyds_1wk","rutd_1wk","rerec_1wk","reyds_1wk","retd_1wk","ruyds_2wk","rutd_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Davante"," Adams","13","2014","12","8","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","10","0","0","0","2","13","1"
" DeAndre"," Hopkins","13","2014","35","23","1","82","0","0","52","802","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","5","39","0","0","0","4","80","0"
" Demaryius"," Thomas","13","2014","12","18","0","220","0","0","92","1430","14","194","0","0","0","94","1434","10","0","0","10","87","3","0","0","7","103","0"
" DeSean"," Jackson","13","2014","14","10","0","182","2","0","82","1332","9","76","3","-7","0","45","700","2","0","0","2","39","0","2","0","4","35","0"
" Doug"," Baldwin","13","2014","2","13","0","101","6","0","50","778","5","47","0","0","0","29","366","3","0","0","2","6","0","0","0","6","45","1"
" Eddie"," Royal","13","2014","13","9","0","105","21","0","47","631","8","27","3","22","0","23","234","1","0","0","6","50","0","15","0","2","27","0"
" Emmanuel"," Sanders","13","2014","7","18","0","105","25","0","67","740","6","62","1","4","0","44","626","1","3","0","9","125","0","0","0","5","102","1"
" Golden"," Tate","13","2014","8","15","1","113","31","0","64","898","5","110","3","20","0","45","688","7","13","0","4","97","0","8","0","2","41","0"
" Greg"," Jennings","13","2014","10","24","1","97","0","0","68","804","4","57","0","0","0","36","366","4","0","0","4","38","1","0","0","1","4","0"
" Harry"," Douglas","13","2014","11","5","1","108","0","0","85","1067","2","39","2","4","0","38","395","1","0","0","2","14","0","0","0","4","46","0"
" James"," Jones","13","2014","3","6","0","92","0","0","59","817","3","158","0","0","0","64","784","14","0","0","5","47","1","0","0","2","35","0"
" Jaron"," Brown","13","2014","7","19","0","16","0","0","11","140","1","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","24","0","0","0","1","4","0"
" Jarvis"," Landry","13","2014","6","27","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","7","50","2","0","0","5","46","1"
" Jeremy"," Ross","13","2014","3","15","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","35","0","0","0","1","7","0"
" Jeremy"," Maclin","13","2014","10","20","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","120","0","0","0","69","857","7","0","0","6","59","0","0","0","9","93","1"
" Jermaine"," Kearse","13","2014","3","13","0","51","0","0","22","346","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","19","0","0","0","5","54","0"
" John"," Brown","13","2014","4","19","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","61","0","0","0","5","69","0"
" Jordan"," Matthews","13","2014","11","20","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","6","77","0","0","0","5","107","1"
" Jordy"," Nelson","13","2014","11","8","1","173","0","0","85","1314","8","114","0","0","0","49","745","7","0","0","8","68","0","0","0","4","109","1"
" Julian"," Edelman","13","2014","4","8","0","137","11","0","105","1056","6","40","4","45","0","21","235","3","0","0","11","89","0","31","0","5","50","0"
" Julio"," Jones","13","2014","24","5","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","173","6","30","0","79","1198","10","0","0","5","68","1","0","0","6","59","0"
" Keenan"," Allen","13","2014","24","9","0","143","0","0","71","1046","8","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","6","104","1","0","0","8","63","0"
" Kendall"," Wright","13","2014","19","4","0","113","0","0","94","1079","2","78","1","4","0","64","626","4","0","0","1","28","0","0","0","4","70","0"
" Kenny"," Stills","13","2014","22","19","0","88","10","0","32","641","5","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","-2","0","8","98","0","0","0","4","32","1"
" Malcom"," Floyd","13","2014","8","9","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","105","0","0","0","56","814","5","0","0","4","30","0","0","0","4","44","1"
" Marcel"," Reece","13","2014","4","6","0","70","218","2","32","331","2","74","59","271","0","52","496","1","37","0","1","8","0","1","0","2","-4","0"
" Marques"," Colston","13","2014","7","19","0","118","0","0","75","943","5","168","0","0","0","83","1154","10","0","0","4","82","1","0","0","4","56","0"
" Mike"," Evans","13","2014","4","21","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","47","1","0","0","7","209","2"
" Mike"," Wallace","13","2014","6","27","0","117","33","0","73","930","5","124","5","7","0","64","836","8","0","0","4","35","1","0","0","4","38","0"
" Miles"," Austin","13","2014","8","2","0","20","0","0","24","244","0","122","0","0","0","66","943","6","0","0","6","64","0","0","0","3","31","0"
" Mohamed"," Sanu","13","2014","2","17","0","51","16","0","47","455","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","1","0","5","48","1","0","0","3","23","0"
" Nate"," Washington","13","2014","12","4","0","104","0","0","58","919","3","92","0","0","0","46","746","4","0","0","4","63","0","0","0","1","80","1"
" Odell"," Beckham","13","2014","9","16","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","-2","0","10","146","2","0","0","6","93","0"
" Preston"," Parker","13","2014","6","16","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","16","0","0","0","1","9","0"
" Randall"," Cobb","13","2014","8","8","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","145","10","132","0","80","954","8","0","0","4","58","0","0","0","10","129","0"
" Reggie"," Wayne","13","2014","3","25","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","159","1","-5","0","106","1355","5","0","0","3","10","0","0","0","5","91","0"
" Riley"," Cooper","13","2014","3","20","0","128","18","0","47","835","8","39","0","0","0","23","248","3","0","0","3","49","0","0","0","4","39","0"
" Robert"," Woods","13","2014","7","12","1","73","16","0","40","587","3","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","9","118","1","0","0","2","15","0"
" Rueben"," Randle","13","2014","5","16","0","92","0","0","41","611","6","44","0","0","0","19","298","3","0","0","3","36","0","0","0","7","112","0"
" Stedman"," Bailey","13","2014","10","28","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","7","89","1","0","0","3","26","0"
" Tavon"," Austin","13","2014","9","28","1","76","151","1","40","418","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","27","1","3","11","0","11","0","2","10","0"
" TY"," Hilton","13","2014","12","25","1","132","6","0","82","1083","5","127","5","29","0","50","861","7","15","0","4","122","1","0","0","3","24","0"
" Vincent"," Jackson","13","2014","2","21","1","156","0","0","78","1224","7","181","0","0","0","72","1384","8","0","0","5","117","0","0","0","3","43","0"
" AJ"," Green","14","2014","28","16","1","203","0","0","98","1426","11","195","4","38","0","97","1350","11","0","0","4","57","1","0","0","12","121","0"
" Allen"," Hurns","14","2014","9","3","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","42","0","0","0","1","13","0"
" Alshon"," Jeffery","14","2014","15","19","1","187","105","0","89","1421","7","51","0","0","0","24","367","3","0","0","9","71","2","0","0","3","22","1"
" Andre"," Holmes","14","2014","3","13","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","28","0","0","0","5","55","0"
" Andrew"," Hawkins","14","2014","3","11","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","71","6","30","0","51","533","4","0","0","2","24","0","0","0","5","93","0"
" Anquan"," Boldin","14","2014","5","26","0","153","11","0","85","1179","7","111","1","3","0","65","921","4","0","0","3","18","0","0","0","9","137","1"
" Brandon"," LaFell","14","2014","3","17","0","86","15","0","49","627","5","88","3","35","0","44","677","4","0","0","5","38","2","0","0","9","98","0"
" Brandon"," Marshall","14","2014","6","19","1","198","0","0","100","1295","12","210","1","-2","0","118","1508","11","0","0","6","42","0","0","0","3","32","0"
" Brian"," Hartline","14","2014","7","8","1","117","0","0","76","1016","4","106","0","0","0","74","1083","1","0","0","1","9","0","0","0","2","39","0"
" Calvin"," Johnson","14","2014","21","14","1","213","0","0","84","1492","12","217","0","0","0","122","1964","5","0","0","11","146","2","0","0","4","58","0"
" Charles"," Johnson","14","2014","16","24","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","41","0","0","0","3","52","1"
" Chris"," Hogan","14","2014","11","15","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","8","1","0","0","2","5","0"
" Cole"," Beasley","14","2014","16","17","0","40","0","0","39","368","2","9","0","0","0","15","128","0","0","0","4","41","0","0","0","2","66","1"
" Damaris"," Johnson","14","2014","2","14","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","20","3","12","0","19","256","0","-7","0","0","0","0","0","0","3","21","0"
" DeAndre"," Hopkins","14","2014","4","14","0","82","0","0","52","802","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","9","238","2","0","0","5","39","0"
" Denard"," Robinson","14","2014","3","3","1","2","66","0","0","0","0","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","44","0","3","10","0","25","0","4","47","0"
" Dez"," Bryant","14","2014","8","17","0","195","1","0","93","1233","13","203","2","-5","0","92","1382","12","0","0","4","73","0","0","0","7","86","2"
" Donte"," Moncrief","14","2014","3","6","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","6","0","3","134","2","4","0","4","38","0"
" Doug"," Baldwin","14","2014","15","1","0","101","6","0","50","778","5","47","0","0","0","29","366","3","0","0","2","28","0","0","0","2","6","0"
" Dwayne"," Bowe","14","2014","2","4","0","90","0","0","57","673","5","92","0","0","0","59","801","3","0","0","2","18","0","0","0","3","42","0"
" Eddie"," Royal","14","2014","3","7","1","105","21","0","47","631","8","27","3","22","0","23","234","1","0","0","9","81","1","0","0","6","50","0"
" Emmanuel"," Sanders","14","2014","6","2","1","105","25","0","67","740","6","62","1","4","0","44","626","1","0","0","6","73","0","3","0","9","125","0"
" Eric"," Decker","14","2014","8","6","0","188","0","0","87","1288","11","176","0","0","0","85","1064","13","0","0","2","18","0","0","0","4","63","0"
" Golden"," Tate","14","2014","5","14","1","113","31","0","64","898","5","110","3","20","0","45","688","7","0","0","8","89","0","13","0","4","97","0"
" Greg"," Jennings","14","2014","5","24","1","97","0","0","68","804","4","57","0","0","0","36","366","4","0","0","5","45","1","0","0","4","38","1"
" Harry"," Douglas","14","2014","7","10","0","108","0","0","85","1067","2","39","2","4","0","38","395","1","0","0","9","116","0","0","0","2","14","0"
" Jacoby"," Jones","14","2014","2","5","0","53","0","0","37","455","2","41","1","6","0","30","406","1","0","0","2","35","0","3","0","0","0","0"
" Jaron"," Brown","14","2014","10","17","1","16","0","0","11","140","1","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","7","75","0","0","0","3","24","0"
" Jarvis"," Landry","14","2014","5","8","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","8","68","0","0","0","7","50","2"
" Jeremy"," Maclin","14","2014","8","12","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","120","0","0","0","69","857","7","0","0","8","108","0","0","0","6","59","0"
" Jermaine"," Kearse","14","2014","4","1","0","51","0","0","22","346","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","34","0","0","0","1","19","0"
" Jordan"," Matthews","14","2014","2","12","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","51","1","0","0","6","77","0"
" Jordy"," Nelson","14","2014","26","20","1","173","0","0","85","1314","8","114","0","0","0","49","745","7","0","0","2","53","1","0","0","8","68","0"
" Julian"," Edelman","14","2014","20","17","0","137","11","0","105","1056","6","40","4","45","0","21","235","3","0","0","7","48","0","0","0","11","89","0"
" Julio"," Jones","14","2014","31","10","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","173","6","30","0","79","1198","10","0","0","10","189","1","0","0","5","68","1"
" Kenny"," Stills","14","2014","2","22","1","88","10","0","32","641","5","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","5","162","1","-2","0","8","98","0"
" Kenny"," Britt","14","2014","5","23","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","79","0","0","0","45","589","4","0","0","1","13","0","0","0","2","37","0"
" Malcom"," Floyd","14","2014","11","7","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","105","0","0","0","56","814","5","0","0","3","85","0","0","0","4","30","0"
" Marcel"," Reece","14","2014","12","13","1","70","218","2","32","331","2","74","59","271","0","52","496","1","12","0","6","48","0","37","0","1","8","0"
" Marlon"," Brown","14","2014","3","5","0","93","-2","0","49","524","7","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","25","0","0","0","1","14","0"
" Marqise"," Lee","14","2014","6","3","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","6","75","1","0","0","3","52","0"
" Marques"," Colston","14","2014","7","22","1","118","0","0","75","943","5","168","0","0","0","83","1154","10","0","0","3","16","1","0","0","4","82","1"
" Michael"," Crabtree","14","2014","5","26","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","159","1","8","0","85","1105","9","0","0","3","10","0","0","0","5","58","0"
" Mike"," Wallace","14","2014","3","8","1","117","33","0","73","930","5","124","5","7","0","64","836","8","0","0","6","69","0","0","0","4","35","1"
" Mike"," Evans","14","2014","16","9","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","49","0","0","0","3","47","1"
" Nate"," Washington","14","2014","5","18","1","104","0","0","58","919","3","92","0","0","0","46","746","4","0","0","5","61","1","0","0","4","63","0"
" Odell"," Beckham","14","2014","19","22","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","4","0","7","90","0","-2","0","10","146","2"
" Percy"," Harvin","14","2014","18","6","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","94","22","96","1","62","677","3","27","0","1","6","0","0","0","1","2","0"
" Pierre"," Garcon","14","2014","9","2","1","155","19","0","113","1346","5","82","2","9","0","44","633","4","0","0","3","9","0","0","0","3","34","0"
" Preston"," Parker","14","2014","6","22","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","6","1","0","0","1","16","0"
" Randall"," Cobb","14","2014","5","20","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","145","10","132","0","80","954","8","8","0","7","85","0","0","0","4","58","0"
" Robert"," Woods","14","2014","3","15","0","73","16","0","40","587","3","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","71","0","0","0","9","118","1"
" Sammy"," Watkins","14","2014","11","15","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","11","0","0","0","3","35","0"
" Stedman"," Bailey","14","2014","4","23","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","5","100","0","0","0","7","89","1"
" Steve"," Smith","14","2014","13","5","0","94","0","0","64","745","4","144","3","27","0","85","1287","4","0","0","1","2","0","0","0","4","89","1"
" Tavon"," Austin","14","2014","5","23","0","76","151","1","40","418","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","24","1","2","11","0","27","1","3","11","0"
" TY"," Hilton","14","2014","26","6","0","132","6","0","82","1083","5","127","5","29","0","50","861","7","0","0","5","62","1","15","0","4","122","1"
" Vincent"," Brown","14","2014","2","13","1","47","0","0","41","472","1","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","10","0","0","0","2","30","0"
" Vincent"," Jackson","14","2014","15","9","0","156","0","0","78","1224","7","181","0","0","0","72","1384","8","0","0","2","24","0","0","0","5","117","0"
" Wes"," Welker","14","2014","8","2","1","131","0","0","73","778","10","164","2","20","0","118","1354","6","0","0","1","12","0","0","0","4","18","1"
" AJ"," Green","15","2014","4","8","0","203","0","0","98","1426","11","195","4","38","0","97","1350","11","0","0","11","224","1","0","0","4","57","1"
" Allen"," Hurns","15","2014","7","6","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","5","36","1","0","0","4","42","0"
" Alshon"," Jeffery","15","2014","13","26","1","187","105","0","89","1421","7","51","0","0","0","24","367","3","0","0","6","95","1","0","0","9","71","2"
" Andre"," Holmes","15","2014","7","14","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","38","0","0","0","3","28","0"
" Andre"," Roberts","15","2014","8","18","0","51","0","0","43","471","2","100","4","29","0","64","759","5","0","0","2","11","0","0","0","2","46","0"
" Anquan"," Boldin","15","2014","2","12","0","153","11","0","85","1179","7","111","1","3","0","65","921","4","4","0","4","54","0","0","0","3","18","0"
" Antonio"," Brown","15","2014","12","23","0","191","4","0","110","1499","8","98","7","24","0","66","787","5","0","0","9","117","0","0","0","8","97","2"
" Brandon"," Gibson","15","2014","2","6","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","93","0","0","0","51","691","5","0","0","1","7","0","0","0","2","17","0"
" Brandon"," LaFell","15","2014","6","7","1","86","15","0","49","627","5","88","3","35","0","44","677","4","0","0","4","41","0","0","0","5","38","2"
" Calvin"," Johnson","15","2014","5","10","1","213","0","0","84","1492","12","217","0","0","0","122","1964","5","0","0","8","158","1","0","0","11","146","2"
" Cecil"," Shorts","15","2014","7","6","0","93","0","0","66","777","3","133","1","-4","0","55","979","7","0","0","2","3","0","0","0","4","35","0"
" Charles"," Johnson","15","2014","7","9","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","103","1","0","0","2","41","0"
" Cole"," Beasley","15","2014","4","1","0","40","0","0","39","368","2","9","0","0","0","15","128","0","0","0","3","42","2","0","0","4","41","0"
" Damaris"," Johnson","15","2014","2","11","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","20","3","12","0","19","256","0","12","0","1","11","0","-7","0","0","0","0"
" DeAndre"," Hopkins","15","2014","7","11","0","82","0","0","52","802","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","49","0","0","0","9","238","2"
" Demaryius"," Thomas","15","2014","18","22","0","220","0","0","92","1430","14","194","0","0","0","94","1434","10","0","0","2","11","0","0","0","6","63","1"
" Dez"," Bryant","15","2014","29","1","0","195","1","0","93","1233","13","203","2","-5","0","92","1382","12","0","0","6","82","0","0","0","4","73","0"
" Doug"," Baldwin","15","2014","5","13","1","101","6","0","50","778","5","47","0","0","0","29","366","3","0","0","5","97","1","0","0","2","28","0"
" Dwayne"," Bowe","15","2014","6","28","1","90","0","0","57","673","5","92","0","0","0","59","801","3","0","0","2","29","0","0","0","2","18","0"
" Eddie"," Royal","15","2014","2","15","1","105","21","0","47","631","8","27","3","22","0","23","234","1","0","0","2","30","0","0","0","9","81","1"
" Emmanuel"," Sanders","15","2014","5","22","0","105","25","0","67","740","6","62","1","4","0","44","626","1","13","0","4","56","0","0","0","6","73","0"
" Eric"," Decker","15","2014","10","24","0","188","0","0","87","1288","11","176","0","0","0","85","1064","13","0","0","6","89","0","0","0","2","18","0"
" Golden"," Tate","15","2014","9","10","1","113","31","0","64","898","5","110","3","20","0","45","688","7","0","0","4","50","0","0","0","8","89","0"
" Greg"," Jennings","15","2014","10","9","0","97","0","0","68","804","4","57","0","0","0","36","366","4","0","0","5","52","0","0","0","5","45","1"
" Harry"," Douglas","15","2014","13","16","1","108","0","0","85","1067","2","39","2","4","0","38","395","1","0","0","2","11","1","0","0","9","116","0"
" James"," Jones","15","2014","11","14","0","92","0","0","59","817","3","158","0","0","0","64","784","14","0","0","2","11","0","0","0","6","33","0"
" Jarius"," Wright","15","2014","4","9","0","57","0","0","26","434","3","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","23","0","4","123","1","5","0","2","40","0"
" Jarvis"," Landry","15","2014","9","6","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","6","55","0","0","0","8","68","0"
" Jeremy"," Maclin","15","2014","9","19","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","120","0","0","0","69","857","7","0","0","3","21","1","0","0","8","108","0"
" Jermaine"," Kearse","15","2014","7","13","1","51","0","0","22","346","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","15","0","3","37","0","0","0","3","34","0"
" Jerricho"," Cotchery","15","2014","10","17","1","113","-5","0","46","602","10","17","0","0","0","17","205","0","0","0","1","9","0","0","0","2","20","0"
" Jordy"," Nelson","15","2014","5","2","0","173","0","0","85","1314","8","114","0","0","0","49","745","7","0","0","8","146","2","0","0","2","53","1"
" Julian"," Edelman","15","2014","14","7","1","137","11","0","105","1056","6","40","4","45","0","21","235","3","4","0","8","141","1","0","0","7","48","0"
" Kelvin"," Benjamin","15","2014","10","17","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","24","1","0","0","5","56","0"
" Kenny"," Britt","15","2014","6","5","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","79","0","0","0","45","589","4","0","0","2","52","0","0","0","1","13","0"
" Kenny"," Stills","15","2014","6","21","0","88","10","0","32","641","5","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","23","0","0","0","5","162","1"
" Malcom"," Floyd","15","2014","3","15","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","105","0","0","0","56","814","5","0","0","3","54","1","0","0","3","85","0"
" Markus"," Wheaton","15","2014","6","23","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","31","0","0","0","5","61","0"
