"17","1","294","4343","25","18","0","397","4827","34","32","4","21","14","149","1","0","0","0","56","29","249","1","0","3","0"
"7","1","428","5162","39","52","3","424","5177","43","5","1","40","27","237","2","1","3","0","42","29","333","1","1","2","0"
"1","0","286.5234082397","3697.70224719101","24.0215355805243","185.847378277153","1.73408239700374","293.166847237269","3754.51354279523","24.8949079089924","190.492957746478","1.80931744312026","42","27","263","1","2","58","0","32","20","151","2","0","-1","0"
"15","0","201","2621","19","118","0","214","3033","19","233","0","34","23","176","4","0","25","0","49","34","349","2","2","0","0"
"10","1","346","4293","33","183","2","297","3669","27","120","4","23","15","252","1","0","6","0","38","25","301","1","0","3","0"
"10","1","286.5234082397","3697.70224719101","24.0215355805243","185.847378277153","1.73408239700374","293.166847237269","3754.51354279523","24.8949079089924","190.492957746478","1.80931744312026","29","22","235","0","0","0","0","23","16","192","0","1","0","0"
"16","0","188","2454","14","225","3","255","3400","24","197","1","19","14","139","2","0","0","0","22","14","206","1","0","10","0"
"12","0","234","3912","19","131","1","275","3817","22","22","3","29","21","166","2","0","3","0","62","35","345","1","1","7","0"
"13","1","307","2891","27","221","3","97","1699","6","42","1","37","21","331","1","1","22","0","45","27","322","2","1","0","0"
"11","1","286.5234082397","3697.70224719101","24.0215355805243","185.847378277153","1.73408239700374","293.166847237269","3754.51354279523","24.8949079089924","190.492957746478","1.80931744312026","40","24","204","1","0","0","0","30","18","222","1","0","-2","0"
"8","0","299","3197","21","524","4","186","1814","10","415","5","34","21","248","1","3","64","0","23","16","201","2","0","11","0"
"3","0","109","1256","8","155","2","148","2176","10","291","1","34","18","234","1","2","9","0","33","22","266","2","0","14","0"
"19","0","327","3822","23","377","4","315","4374","23","255","5","34","20","172","3","1","20","0","53","35","370","2","2","19","1"
"2","1","200","3818","18","36","0","277","3948","26","30","0","39","26","277","2","2","5","0","33","18","163","1","2","0","0"
"15","0","522","5477","55","-31","1","380","4659","37","6","0","26","21","242","3","0","-1","0","36","22","269","3","0","-3","0"
"5","0","158","1829","13","69","1","293.166847237269","3754.51354279523","24.8949079089924","190.492957746478","1.80931744312026","21","16","179","0","1","6","2","35","22","183","2","2","27","0"
"4","0","342","4478","32","72","0","259","3606","26","40","0","37","28","284","3","0","17","0","36","21","238","1","1","10","0"
"6","0","196","2536","17","120","0","411","4295","39","259","2","42","25","346","3","0","28","0","33","23","189","1","1","0","0"
