"fname","lname","week","yr","actual","rating","home","pts_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","rerec_2y","reyds_2y","retd_2y","pts_1wk","rerec_1wk","reyds_1wk","retd_1wk","pts_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Owen"," Daniels","3","2015","8","15","0","70","48","527","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","3","19","0","0","2","5","0"
" Richard"," Rodgers","3","2015","1","11","1","31","20","225","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","10","3","23","1","3","3","27","0"
" Rob"," Gronkowski","3","2015","10","21","1","178","82","1124","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","17","7","113","1","27","5","94","3"
" Scott"," Chandler","3","2015","2","21","1","62","47","497","3","69","53","655","2","2","3","23","0","6","1","1","1"
" Travis"," Kelce","3","2015","10","13","0","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","4","58","0","22","6","106","2"
" Zach"," Ertz","3","2015","3","4","0","79","58","702","3","64","36","469","4","1","3","17","0","4","3","46","0"
" Benjamin"," Watson","4","2015","3","24","1","20","20","136","2","31","19","226","2","3","4","42","0","1","2","12","0"
" Charles"," Clay","4","2015","11","10","1","73","58","605","3","113","69","759","6","14","5","82","1","7","3","19","1"
" Eric"," Ebron","4","2015","2","4","0","26","25","248","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","6","4","61","0","10","5","43","1"
" Garrett"," Celek","4","2015","2","11","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","3","29","0","1","2","10","0"
" Gary"," Barnidge","4","2015","13","26","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","16","6","105","1","1","1","17","0"
" Greg"," Olsen","4","2015","2","20","0","131","84","1008","6","110","73","816","6","25","8","134","2","7","6","70","0"
" Jared"," Cook","4","2015","2","2","0","75","52","634","3","89","51","671","5","0","1","7","0","4","5","47","0"
" Jason"," Witten","4","2015","5","19","0","93","64","703","5","127","73","851","8","6","6","65","0","5","7","56","0"
" Jimmy"," Graham","4","2015","2","7","1","139","85","889","10","211","86","1215","16","14","7","83","1","1","1","11","0"
" Jordan"," Cameron","4","2015","1","6","1","51","24","424","2","127","80","917","7","1","3","16","0","6","3","62","0"
" Jordan"," Reed","4","2015","2","15","1","42","50","465","0","65","45","499","3","9","6","96","0","8","6","82","0"
" Josh"," Hill","4","2015","7","24","1","44","14","176","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","10","0","0","1","2","0"
" Larry"," Donnell","4","2015","3","9","0","88","63","623","6","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","3","32","0","8","4","28","1"
" Lee"," Smith","4","2015","1","25","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","8","0","0","1","6","0"
" Martellus"," Bennett","4","2015","14","21","1","123","90","916","6","97","65","759","5","1","4","15","0","4","4","48","0"
" Maxx"," Williams","4","2015","1","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","3","44","0","0","1","8","0"
" Owen"," Daniels","4","2015","6","8","1","70","48","527","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","8","5","28","1","1","3","19","0"
" Richard"," Rodgers","4","2015","10","21","0","31","20","225","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","15","0","10","3","23","1"
" Travis"," Kelce","4","2015","3","15","0","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","10","6","80","0","5","4","58","0"
" Zach"," Ertz","4","2015","1","17","0","79","58","702","3","64","36","469","4","3","2","30","0","1","3","17","0"
" Benjamin"," Watson","5","2015","9","9","0","20","20","136","2","31","19","226","2","3","3","30","0","3","4","42","0"
" Darren"," Fells","5","2015","8","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","17","0","1","1","13","0"
" Garrett"," Celek","5","2015","8","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","3","26","0","2","3","29","0"
" Gary"," Barnidge","5","2015","19","15","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","13","6","75","1","16","6","105","1"
" Heath"," Miller","5","2015","4","23","0","88","66","761","3","57","58","593","1","0","1","1","0","1","2","17","0"
" Jason"," Witten","5","2015","2","11","1","93","64","703","5","127","73","851","8","5","4","57","0","6","6","65","0"
" Jimmy"," Graham","5","2015","3","14","0","139","85","889","10","211","86","1215","16","2","4","29","0","14","7","83","1"
" Larry"," Donnell","5","2015","9","19","1","88","63","623","6","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","5","38","0","3","3","32","0"
" Martellus"," Bennett","5","2015","3","18","0","123","90","916","6","97","65","759","5","14","11","83","1","1","4","15","0"
" Nick"," Boyle","5","2015","2","18","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","3","12","0","1","2","19","0"
" Richard"," Rodgers","5","2015","4","5","1","31","20","225","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","10","5","45","1","1","2","15","0"
" Travis"," Kelce","5","2015","3","21","1","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","5","49","0","10","6","80","0"
" Zach"," Ertz","5","2015","6","20","1","79","58","702","3","64","36","469","4","1","2","11","0","3","2","30","0"
" Benjamin"," Watson","6","2015","18","9","1","20","20","136","2","31","19","226","2","9","3","36","1","3","3","30","0"
" Charles"," Clay","6","2015","6","14","1","73","58","605","3","113","69","759","6","0","1","7","0","11","9","111","0"
" Coby"," Fleener","6","2015","2","13","1","118","51","774","8","81","52","608","4","0","2","9","0","14","9","83","1"
" Gary"," Barnidge","6","2015","15","1","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","19","8","139","1","13","6","75","1"
" Jimmy"," Graham","6","2015","14","8","1","139","85","889","10","211","86","1215","16","3","3","30","0","2","4","29","0"
" Ladarius"," Green","6","2015","9","5","0","19","19","226","0","53","17","376","3","5","5","50","0","11","4","53","1"
" Larry"," Donnell","6","2015","2","3","0","88","63","623","6","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","9","6","35","1","3","5","38","0"
" Luke"," Willson","6","2015","1","8","1","50","22","362","3","28","20","272","1","1","2","17","0","1","2","15","0"
" Martellus"," Bennett","6","2015","5","14","0","123","90","916","6","97","65","759","5","3","4","32","0","14","11","83","1"
" Maxx"," Williams","6","2015","2","20","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","0","0","1","2","17","0"
" Richard"," Rodgers","6","2015","3","23","1","31","20","225","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","6","45","0","10","5","45","1"
" Travis"," Kelce","6","2015","8","11","0","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","3","35","0","3","5","49","0"
" Tyler"," Eifert","6","2015","9","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","49","39","445","2","21","8","90","2","6","3","69","0"
" Vance"," McDonald","6","2015","1","17","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","8","8","119","0","0","2","9","0","0","1","7","0"
" Zach"," Ertz","6","2015","4","10","1","79","58","702","3","64","36","469","4","6","5","60","0","1","2","11","0"
" Benjamin"," Watson","7","2015","5","14","0","20","20","136","2","31","19","226","2","18","10","127","1","9","3","36","1"
" Charles"," Clay","7","2015","2","18","0","73","58","605","3","113","69","759","6","6","9","62","0","0","1","7","0"
" Coby"," Fleener","7","2015","4","15","1","118","51","774","8","81","52","608","4","2","3","20","0","0","2","9","0"
" Delanie"," Walker","7","2015","5","7","1","105","63","890","4","87","60","571","6","9","8","97","0","3","4","36","0"
" Dwayne"," Allen","7","2015","1","15","1","82","29","395","8","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","3","23","0","2","1","21","0"
" Gary"," Barnidge","7","2015","10","3","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","15","3","39","2","19","8","139","1"
" Jacob"," Tamme","7","2015","3","20","0","19","14","109","2","19","20","184","1","3","3","32","0","9","8","94","0"
" Jimmy"," Graham","7","2015","3","17","0","139","85","889","10","211","86","1215","16","14","8","140","0","3","3","30","0"
" Ladarius"," Green","7","2015","14","21","1","19","19","226","0","53","17","376","3","9","3","35","1","5","5","50","0"
" Larry"," Donnell","7","2015","1","24","1","88","63","623","6","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","3","29","0","9","6","35","1"
" Rob"," Gronkowski","7","2015","16","12","1","178","82","1124","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","11","3","50","1","6","4","67","0"
" Travis"," Kelce","7","2015","7","9","1","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","8","5","88","0","3","3","35","0"
" Zach"," Ertz","7","2015","6","8","0","79","58","702","3","64","36","469","4","4","4","43","0","6","5","60","0"
" Benjamin"," Watson","8","2015","20","5","1","20","20","136","2","31","19","226","2","5","4","59","0","18","10","127","1"
" Coby"," Fleener","8","2015","10","8","0","118","51","774","8","81","52","608","4","4","3","47","0","2","3","20","0"
" Crockett"," Gillmore","8","2015","6","27","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","5","53","0","3","3","30","0"
" Delanie"," Walker","8","2015","6","12","0","105","63","890","4","87","60","571","6","5","7","55","0","9","8","97","0"
" Gary"," Barnidge","8","2015","11","3","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","10","6","101","0","15","3","39","2"
" Greg"," Olsen","8","2015","13","14","1","131","84","1008","6","110","73","816","6","6","3","65","0","19","7","131","1"
" Jacob"," Tamme","8","2015","16","15","1","19","14","109","2","19","20","184","1","3","3","36","0","3","3","32","0"
" Jimmy"," Graham","8","2015","7","26","0","139","85","889","10","211","86","1215","16","3","2","31","0","14","8","140","0"
" Jordan"," Cameron","8","2015","3","11","0","51","24","424","2","127","80","917","7","2","2","23","0","9","3","30","1"
" Kyle"," Rudolph","8","2015","2","26","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","7","2","10","1","6","2","9","1"
" Ladarius"," Green","8","2015","1","21","0","19","19","226","0","53","17","376","3","14","4","45","1","9","3","35","1"
" Larry"," Donnell","8","2015","2","18","0","88","63","623","6","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","4","18","0","2","3","29","0"
" Rob"," Gronkowski","8","2015","17","17","1","178","82","1124","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","16","11","108","1","11","3","50","1"
" Travis"," Kelce","8","2015","10","19","1","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","7","5","73","0","8","5","88","0"
" Vance"," McDonald","8","2015","1","2","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","8","8","119","0","0","1","1","0","1","1","10","0"
" Anthony"," Fasano","9","2015","9","20","0","42","25","226","4","33","23","200","3","0","1","9","0","2","3","21","0"
" Benjamin"," Watson","9","2015","6","19","1","20","20","136","2","31","19","226","2","20","9","147","1","5","4","59","0"
" Cameron"," Brate","9","2015","1","3","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","10","2","48","1","0","1","6","0"
" Clive"," Walford","9","2015","6","10","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","13","0","10","2","42","1"
" Coby"," Fleener","9","2015","2","1","1","118","51","774","8","81","52","608","4","10","7","43","1","4","3","47","0"
" Delanie"," Walker","9","2015","23","20","0","105","63","890","4","87","60","571","6","6","6","62","0","5","7","55","0"
" Gary"," Barnidge","9","2015","3","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","11","7","53","1","10","6","101","0"
" Greg"," Olsen","9","2015","12","11","1","131","84","1008","6","110","73","816","6","13","6","79","1","6","3","65","0"
" Jacob"," Tamme","9","2015","6","21","0","19","14","109","2","19","20","184","1","16","10","103","1","3","3","36","0"
" Jared"," Cook","9","2015","1","10","0","75","52","634","3","89","51","671","5","7","2","57","0","0","2","19","0"
" Jason"," Witten","9","2015","4","4","1","93","64","703","5","127","73","851","8","1","2","16","0","7","6","73","0"
" Kyle"," Rudolph","9","2015","3","2","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","2","22","0","7","2","10","1"
" Lee"," Smith","9","2015","1","10","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","6","0","0","2","1","0"
" Rob"," Gronkowski","9","2015","4","23","1","178","82","1124","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","17","6","113","1","16","11","108","1"
" Vance"," McDonald","9","2015","1","9","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","8","8","119","0","1","1","13","0","0","1","1","0"
" Anthony"," Fasano","10","2015","1","7","1","42","25","226","4","33","23","200","3","9","3","33","1","0","1","9","0"
" Benjamin"," Watson","10","2015","1","20","0","20","20","136","2","31","19","226","2","6","5","60","0","20","9","147","1"
" Clive"," Walford","10","2015","7","8","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","6","1","1","1","1","2","13","0"
" Delanie"," Walker","10","2015","5","7","1","105","63","890","4","87","60","571","6","23","7","95","2","6","6","62","0"
" Gary"," Barnidge","10","2015","12","6","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","3","2","35","0","11","7","53","1"
" Greg"," Olsen","10","2015","8","19","0","131","84","1008","6","110","73","816","6","12","4","66","1","13","6","79","1"
" Heath"," Miller","10","2015","4","20","1","88","66","761","3","57","58","593","1","3","3","32","0","10","10","105","0"
" Jared"," Cook","10","2015","3","28","1","75","52","634","3","89","51","671","5","1","1","10","0","7","2","57","0"
" Jason"," Witten","10","2015","4","13","0","93","64","703","5","127","73","851","8","4","6","43","0","1","2","16","0"
" Martellus"," Bennett","10","2015","1","5","0","123","90","916","6","97","65","759","5","11","8","57","1","3","3","32","0"
" Owen"," Daniels","10","2015","1","10","1","70","48","527","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","16","6","102","1","4","3","44","0"
" Richard"," Rodgers","10","2015","9","22","1","31","20","225","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","13","5","19","2","1","2","16","0"
" Rob"," Gronkowski","10","2015","17","2","0","178","82","1124","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","4","47","0","17","6","113","1"
" Scott"," Chandler","10","2015","6","2","0","62","47","497","3","69","53","655","2","0","1","5","0","0","1","9","0"
" Tyler"," Eifert","10","2015","2","12","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","49","39","445","2","23","5","53","3","3","4","39","0"
" Will"," Tye","10","2015","5","9","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","19","0","-1","2","7","0"
" Anthony"," Fasano","11","2015","1","18","0","42","25","226","4","33","23","200","3","1","1","19","0","9","3","33","1"
" Cameron"," Brate","11","2015","10","5","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","6","0","1","1","17","0"
" Charles"," Clay","11","2015","1","8","0","73","58","605","3","113","69","759","6","5","5","52","0","0","1","6","0"
" Clive"," Walford","11","2015","2","20","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","7","2","18","1","6","1","1","1"
" Delanie"," Walker","11","2015","10","18","0","105","63","890","4","87","60","571","6","5","3","52","0","23","7","95","2"
" Greg"," Olsen","11","2015","11","16","1","131","84","1008","6","110","73","816","6","8","8","80","0","12","4","66","1"
" Jared"," Cook","11","2015","3","17","0","75","52","634","3","89","51","671","5","3","2","35","0","1","1","10","0"
" Jason"," Witten","11","2015","2","14","0","93","64","703","5","127","73","851","8","4","5","42","0","4","6","43","0"
" Jordan"," Cameron","11","2015","8","21","1","51","24","424","2","127","80","917","7","0","1","5","0","0","1","6","0"
" Jordan"," Reed","11","2015","3","2","0","42","50","465","0","65","45","499","3","14","3","29","2","7","3","18","1"
" Julius"," Thomas","11","2015","8","15","1","116","43","489","12","144","65","788","12","2","2","23","0","1","3","14","0"
" Kyle"," Rudolph","11","2015","16","11","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","7","0","3","2","30","0"
" Lance"," Kendricks","11","2015","10","17","0","50","27","259","5","44","32","258","4","0","1","4","0","2","2","25","0"
" Martellus"," Bennett","11","2015","2","1","1","123","90","916","6","97","65","759","5","1","3","18","0","11","8","57","1"
" Mychal"," Rivera","11","2015","2","20","0","70","58","534","4","61","38","407","4","4","6","46","0","1","2","16","0"
" Owen"," Daniels","11","2015","6","24","0","70","48","527","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","14","0","16","6","102","1"
" Rhett"," Ellison","11","2015","1","11","1","24","19","208","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","7","2","18","1","1","2","11","0"
" Rob"," Gronkowski","11","2015","3","9","1","178","82","1124","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","17","5","113","1","4","4","47","0"
" Tyler"," Eifert","11","2015","14","5","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","49","39","445","2","2","3","26","0","23","5","53","3"
" Zach"," Ertz","11","2015","1","6","1","79","58","702","3","64","36","469","4","6","7","68","0","4","5","44","0"
" Zach"," Miller","11","2015","4","1","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","63","33","387","5","22","5","107","2","8","2","23","1"
" Anthony"," Fasano","12","2015","2","22","1","42","25","226","4","33","23","200","3","1","2","14","0","1","1","19","0"
" Brent"," Celek","12","2015","7","21","0","33","32","340","1","76","32","502","6","7","7","79","0","13","4","134","0"
" Cameron"," Brate","12","2015","11","13","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","10","3","47","1","0","1","6","0"
" Charles"," Clay","12","2015","3","6","0","73","58","605","3","113","69","759","6","1","1","14","0","5","5","52","0"
" Clive"," Walford","12","2015","1","17","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","2","25","0","7","2","18","1"
" Crockett"," Gillmore","12","2015","2","20","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","10","5","101","0","10","4","42","1"
" Delanie"," Walker","12","2015","9","22","1","105","63","890","4","87","60","571","6","10","8","109","0","5","3","52","0"
" Greg"," Olsen","12","2015","7","24","0","131","84","1008","6","110","73","816","6","11","3","54","1","8","8","80","0"
" Jared"," Cook","12","2015","5","6","0","75","52","634","3","89","51","671","5","3","4","31","0","3","2","35","0"
" Jason"," Witten","12","2015","3","2","1","93","64","703","5","127","73","851","8","2","2","27","0","4","5","42","0"
" Jimmy"," Graham","12","2015","7","12","1","139","85","889","10","211","86","1215","16","3","3","39","0","4","3","41","0"
" Jordan"," Cameron","12","2015","1","15","0","51","24","424","2","127","80","917","7","8","2","21","1","0","1","5","0"
" Jordan"," Reed","12","2015","9","5","1","42","50","465","0","65","45","499","3","3","6","46","0","14","3","29","2"
" Julius"," Thomas","12","2015","17","27","1","116","43","489","12","144","65","788","12","8","5","28","1","2","2","23","0"
" Kyle"," Rudolph","12","2015","5","14","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","16","6","106","1","0","1","7","0"
" Lance"," Kendricks","12","2015","1","6","0","50","27","259","5","44","32","258","4","10","2","43","1","0","1","4","0"
" Mychal"," Rivera","12","2015","2","17","0","70","58","534","4","61","38","407","4","2","1","21","0","4","6","46","0"
" Owen"," Daniels","12","2015","4","11","1","70","48","527","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","6","4","69","0","1","1","14","0"
" Rhett"," Ellison","12","2015","2","14","0","24","19","208","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","19","0","7","2","18","1"
" Richard"," Rodgers","12","2015","3","23","1","31","20","225","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","3","7","0","9","5","32","1"
" Rob"," Gronkowski","12","2015","14","1","0","178","82","1124","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","2","37","0","17","5","113","1"
" Ryan"," Griffin","12","2015","13","25","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","2","6","0","3","3","36","0"
" Scott"," Chandler","12","2015","11","1","0","62","47","497","3","69","53","655","2","0","1","3","0","6","1","1","1"
" Travis"," Kelce","12","2015","12","13","1","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","5","46","0","3","5","36","0"
" Tyler"," Eifert","12","2015","10","7","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","49","39","445","2","14","3","22","2","2","3","26","0"
" Zach"," Miller","12","2015","7","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","63","33","387","5","4","3","47","0","22","5","107","2"
" Antonio"," Gates","13","2015","5","1","1","148","69","821","12","104","77","872","4","17","4","53","2","0","1","6","0"
" Brent"," Celek","13","2015","1","13","0","33","32","340","1","76","32","502","6","7","2","10","1","7","7","79","0"
" Cameron"," Brate","13","2015","1","13","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","11","5","53","1","10","3","47","1"
" Charles"," Clay","13","2015","12","11","1","73","58","605","3","113","69","759","6","3","5","31","0","1","1","14","0"
" Clive"," Walford","13","2015","5","3","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","14","0","2","2","25","0"
" Coby"," Fleener","13","2015","2","7","0","118","51","774","8","81","52","608","4","2","3","27","0","4","3","45","0"
" Delanie"," Walker","13","2015","15","21","1","105","63","890","4","87","60","571","6","9","6","91","0","10","8","109","0"
" Greg"," Olsen","13","2015","11","23","0","131","84","1008","6","110","73","816","6","7","5","70","0","11","3","54","1"
" Jacob"," Tamme","13","2015","2","8","0","19","14","109","2","19","20","184","1","6","5","69","0","1","1","16","0"
" Jared"," Cook","13","2015","2","5","1","75","52","634","3","89","51","671","5","5","4","58","0","3","4","31","0"
" Jason"," Witten","13","2015","4","14","0","93","64","703","5","127","73","851","8","3","4","36","0","2","2","27","0"
" Jordan"," Reed","13","2015","3","24","1","42","50","465","0","65","45","499","3","9","8","98","0","3","6","46","0"
" Julius"," Thomas","13","2015","7","17","0","116","43","489","12","144","65","788","12","17","9","116","1","8","5","28","1"
" Kyle"," Rudolph","13","2015","1","3","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","7","53","0","16","6","106","1"
" Ladarius"," Green","13","2015","2","1","1","19","19","226","0","53","17","376","3","1","1","19","0","0","1","9","0"
" Luke"," Willson","13","2015","3","9","0","50","22","362","3","28","20","272","1","1","1","12","0","1","2","15","0"
" Mychal"," Rivera","13","2015","1","3","1","70","58","534","4","61","38","407","4","2","2","28","0","2","1","21","0"
" Owen"," Daniels","13","2015","1","26","0","70","48","527","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","5","48","0","6","4","69","0"
" Richard"," Rodgers","13","2015","20","20","0","31","20","225","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","4","30","0","0","3","7","0"
" Ryan"," Griffin","13","2015","8","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","13","4","72","1","0","2","6","0"
" Scott"," Chandler","13","2015","12","6","1","62","47","497","3","69","53","655","2","11","5","58","1","0","1","3","0"
" Travis"," Kelce","13","2015","5","19","0","105","67","862","5","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","12","4","69","1","4","5","46","0"
" Vance"," McDonald","13","2015","1","22","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","8","8","119","0","13","6","71","1","12","4","65","1"
" Antonio"," Gates","14","2015","7","3","0","148","69","821","12","104","77","872","4","5","6","50","0","17","4","53","2"
" Benjamin"," Watson","14","2015","7","11","0","20","20","136","2","31","19","226","2","9","4","38","1","5","4","53","0"
" Blake"," Bell","14","2015","4","18","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","5","0","6","3","67","0"
" Cameron"," Brate","14","2015","1","22","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","12","0","11","5","53","1"
" Clive"," Walford","14","2015","4","1","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","5","53","0","1","1","14","0"
" Delanie"," Walker","14","2015","7","13","0","105","63","890","4","87","60","571","6","15","8","92","1","9","6","91","0"
" Eric"," Ebron","14","2015","2","9","0","26","25","248","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","6","2","9","1","2","2","28","0"
" Gary"," Barnidge","14","2015","14","21","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","20","13","127","2","5","5","59","0","9","7","91","0"
" Greg"," Olsen","14","2015","5","17","1","131","84","1008","6","110","73","816","6","11","9","129","0","7","5","70","0"
" Jacob"," Tamme","14","2015","2","2","0","19","14","109","2","19","20","184","1","2","3","26","0","6","5","69","0"
" Jared"," Cook","14","2015","1","19","1","75","52","634","3","89","51","671","5","2","3","22","0","5","4","58","0"
" Jason"," Witten","14","2015","4","10","0","93","64","703","5","127","73","851","8","4","5","46","0","3","4","36","0"
" Jordan"," Cameron","14","2015","3","8","1","51","24","424","2","127","80","917","7","0","1","4","0","1","2","13","0"
" Jordan"," Reed","14","2015","18","21","0","42","50","465","0","65","45","499","3","3","3","33","0","9","8","98","0"
" Julius"," Thomas","14","2015","11","14","1","116","43","489","12","144","65","788","12","7","2","15","1","17","9","116","1"
" Kyle"," Rudolph","14","2015","6","6","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","3","13","0","5","7","53","0"
" Ladarius"," Green","14","2015","2","3","0","19","19","226","0","53","17","376","3","2","2","21","0","1","1","19","0"
