"fname","lname","week","yr","actual","rating","home","pts_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","rerec_2y","reyds_2y","retd_2y","pts_1wk","rerec_1wk","reyds_1wk","retd_1wk","pts_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Coby"," Fleener","5","2014","3","9","1","81","52","608","4","36","26","281","2","8","2","26","1","10","4","49","1"
" Delanie"," Walker","5","2014","4","16","1","87","60","571","6","47","21","344","3","14","5","84","1","5","4","54","0"
" Dwayne"," Allen","5","2014","11","9","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","63","45","521","3","9","3","38","1","10","4","43","1"
" Greg"," Olsen","5","2014","19","9","1","110","73","816","6","107","69","843","5","3","2","30","0","12","5","69","1"
" Heath"," Miller","5","2014","4","21","0","57","58","593","1","125","71","816","8","14","10","85","1","5","4","51","0"
" Jace"," Amaro","5","2014","1","5","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","5","58","0","5","3","54","0"
" Jason"," Witten","5","2014","5","2","1","127","73","851","8","115","110","1039","3","6","5","61","0","4","4","49","0"
" Jimmy"," Graham","5","2014","3","13","1","211","86","1215","16","144","85","982","9","13","8","86","1","5","6","54","0"
" Josh"," Hill","5","2014","5","13","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","7","1","12","1","10","2","48","1"
" Owen"," Daniels","5","2014","7","7","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","100","62","716","6","4","4","43","0","0","1","8","0"
" Rob"," Gronkowski","5","2014","16","15","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","140","55","790","11","9","2","31","1","10","3","44","1"
" Scott"," Chandler","5","2014","2","6","0","69","53","655","2","87","43","571","6","1","2","15","0","7","5","74","0"
" Travis"," Kelce","5","2014","7","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","15","8","93","1","9","3","36","1"
" Zach"," Ertz","5","2014","3","17","1","64","36","469","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","4","43","0","1","2","14","0"
" Antonio"," Gates","6","2014","8","21","0","104","77","872","4","89","49","538","7","18","4","60","2","3","3","30","0"
" Austin"," Seferian-Jenkins","6","2014","5","9","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","11","0","4","3","44","0"
" Chase"," Ford","6","2014","3","3","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","3","31","0","1","1","17","0"
" Clay"," Harbor","6","2014","15","13","0","34","24","292","2","24","25","186","2","2","3","22","0","7","8","70","0"
" Coby"," Fleener","6","2014","7","2","0","81","52","608","4","36","26","281","2","3","1","30","0","8","2","26","1"
" Delanie"," Walker","6","2014","5","20","1","87","60","571","6","47","21","344","3","4","4","47","0","14","5","84","1"
" Dwayne"," Allen","6","2014","4","2","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","63","45","521","3","11","4","59","1","9","3","38","1"
" Eric"," Ebron","6","2014","2","13","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","2","8","0","9","3","34","1"
" Greg"," Olsen","6","2014","12","17","0","110","73","816","6","107","69","843","5","19","6","72","2","3","2","30","0"
" Jace"," Amaro","6","2014","12","12","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","3","19","0","5","5","58","0"
" Jason"," Witten","6","2014","8","16","0","127","73","851","8","115","110","1039","3","5","4","59","0","6","5","61","0"
" Martellus"," Bennett","6","2014","7","14","0","97","65","759","5","86","55","626","5","1","3","17","0","13","9","134","0"
" Owen"," Daniels","6","2014","3","14","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","100","62","716","6","7","5","70","0","4","4","43","0"
" Rob"," Gronkowski","6","2014","9","8","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","140","55","790","11","16","6","100","1","9","2","31","1"
" Scott"," Chandler","6","2014","10","4","1","69","53","655","2","87","43","571","6","2","4","21","0","1","2","15","0"
" Zach"," Ertz","6","2014","10","12","1","64","36","469","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","3","39","0","3","4","43","0"
" Antonio"," Gates","7","2014","12","19","1","104","77","872","4","89","49","538","7","8","3","27","1","18","4","60","2"
" Clay"," Harbor","7","2014","3","16","1","34","24","292","2","24","25","186","2","15","3","91","1","2","3","22","0"
" Coby"," Fleener","7","2014","6","20","1","81","52","608","4","36","26","281","2","7","2","11","1","3","1","30","0"
" Cooper"," Helfet","7","2014","12","21","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","7","0","3","1","36","0"
" Dwayne"," Allen","7","2014","11","20","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","63","45","521","3","4","3","49","0","11","4","59","1"
" Greg"," Olsen","7","2014","10","8","0","110","73","816","6","107","69","843","5","12","6","62","1","19","6","72","2"
" Jace"," Amaro","7","2014","2","3","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","12","10","68","1","1","3","19","0"
" Jared"," Cook","7","2014","2","22","1","89","51","671","5","69","44","523","4","7","4","74","0","4","4","44","0"
" Jason"," Witten","7","2014","2","17","1","127","73","851","8","115","110","1039","3","8","2","24","1","5","4","59","0"
" Jermaine"," Gresham","7","2014","4","4","0","61","46","458","4","95","64","737","5","6","6","68","0","1","2","15","0"
" John"," Carlson","7","2014","2","25","0","33","32","344","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","4","14","0","1","2","19","0"
" Julius"," Thomas","7","2014","2","12","1","144","65","788","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","17","4","51","2","18","6","66","2"
" Lance"," Kendricks","7","2014","7","22","1","44","32","258","4","70","42","519","4","8","1","22","1","2","1","22","0"
" Martellus"," Bennett","7","2014","5","9","1","97","65","759","5","86","55","626","5","7","4","52","0","1","3","17","0"
" Owen"," Daniels","7","2014","11","17","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","100","62","716","6","3","2","34","0","7","5","70","0"
" Rob"," Gronkowski","7","2014","6","24","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","140","55","790","11","9","7","94","0","16","6","100","1"
" Scott"," Chandler","7","2014","3","10","1","69","53","655","2","87","43","571","6","10","6","105","0","2","4","21","0"
" Antonio"," Gates","8","2014","17","13","0","104","77","872","4","89","49","538","7","12","3","61","1","8","3","27","1"
" Clay"," Harbor","8","2014","2","2","1","34","24","292","2","24","25","186","2","3","6","34","0","15","3","91","1"
" Cooper"," Helfet","8","2014","1","17","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","12","3","61","1","0","1","7","0"
" Crockett"," Gillmore","8","2014","2","21","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","13","0","1","2","16","0"
" Delanie"," Walker","8","2014","9","4","1","87","60","571","6","47","21","344","3","1","2","17","0","5","3","57","0"
" Dion"," Sims","8","2014","5","19","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","2","33","0","0","1","5","0"
" Dwayne"," Allen","8","2014","8","10","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","63","45","521","3","11","3","52","1","4","3","49","0"
" Heath"," Miller","8","2014","17","8","1","57","58","593","1","125","71","816","8","1","1","13","0","1","2","19","0"
" Jace"," Amaro","8","2014","5","6","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","3","22","0","12","10","68","1"
" Jason"," Witten","8","2014","13","22","1","127","73","851","8","115","110","1039","3","2","2","27","0","8","2","24","1"
" Jermaine"," Gresham","8","2014","3","9","1","61","46","458","4","95","64","737","5","4","10","48","0","6","6","68","0"
